Id,Id_D,Type_T,Type,Value,New,Extract,Id_D_Explanation,Explanation,Instructions
40813,STANDARD,CONTEXT_CONTEXT,RELATION,Neighborhood and Municipality,3,,STANDARD,,
40822,STANDARD,CONTEXT_CONTEXT,RELATION,Neighborhood and Locality,3,,STANDARD,,
40833,STANDARD,CONTEXT_CONTEXT,RELATION,Address and Neighborhood,3,,STANDARD,,
40369,STANDARD,CONTEXT,LEVEL,Source,3,,STANDARD,A source is used as contextual level,
40387,STANDARD,CONTEXT,NAME,Baptismal Register,3,,STANDARD,Church records,
40382,STANDARD,CONTEXT,NAME,Birth Certificate,3,,STANDARD,,
40383,STANDARD,CONTEXT,NAME,Marriage Certificate,3,,STANDARD,,
40384,STANDARD,CONTEXT,NAME,Death Certificate,3,,STANDARD,,
40386,STANDARD,CONTEXT,NAME,Population Register,3,,STANDARD,,
40388,STANDARD,CONTEXT,NAME,Marriage Register,3,,STANDARD,Church records,
40389,STANDARD,CONTEXT,NAME,Funeral Register,3,,STANDARD,Church records,
40520,STANDARD,CONTEXT,PAGE,DEFINITION,3,,STANDARD,Page number of the source,
40521,STANDARD,CONTEXT,VOLUME,DEFINITION,3,,STANDARD,Volume number of the source,
40522,STANDARD,CONTEXT,SEQUENCE_NUMBER,DEFINITION,3,,STANDARD,Sequence number of the source (like a number of a certificate),
40523,STANDARD,CONTEXT,PERIOD,DEFINITION,3,,STANDARD,Period of the source (part of the reference system),
40851,STANDARD,CONTEXT_CONTEXT,RELATION,Birth Certificate and Municipality,3,,STANDARD,Source oriented contextual link,
40852,STANDARD,CONTEXT_CONTEXT,RELATION,Marriage Certificate and Municipality,3,,STANDARD,Source oriented contextual link,
40853,STANDARD,CONTEXT_CONTEXT,RELATION,Death Certificate and Municipality,3,,STANDARD,Source oriented contextual link,
40855,STANDARD,CONTEXT_CONTEXT,RELATION,Baptismal Register and Locality,3,,STANDARD,Source oriented contextual link,
40856,STANDARD,CONTEXT_CONTEXT,RELATION,Marriage Register and Locality,3,,STANDARD,Source oriented contextual link,
40857,STANDARD,CONTEXT_CONTEXT,RELATION,Funeral Register and Locality,3,,STANDARD,Source oriented contextual link,
40861,STANDARD,CONTEXT_CONTEXT,RELATION,Population Register and Municipality,3,,STANDARD,Source oriented contextual link,
40862,STANDARD,CONTEXT_CONTEXT,RELATION,Population Register and Locality,3,,STANDARD,Source oriented contextual link,
30233,STANDARD,INDIV_CONTEXT,RELATION,Witness,3.0 change,,STANDARD,Relationship defined by a birth certificate or marriage contract,timestamp is date of certificate  (these persons may be defined as relatives as well)
30234,STANDARD,INDIV_CONTEXT,RELATION,Informer,3,,STANDARD,Relationship defined by a birth or death certificate,timestamp is date of certificate (these persons may be defined as relatives as well)
30235,STANDARD,INDIV_CONTEXT,RELATION,Bride,3.0 change,,STANDARD,Only to be used in context of a marriage contract or certificate,
30236,STANDARD,INDIV_CONTEXT,RELATION,Groom,3,,STANDARD,Only to be used in context of a marriage contract or certificate,
70012,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,"Basic sample 1812-1872 0,75%",3,,HSN,"The Research Person is part of the HSN basic sample, 1812-1872, frequency 0,75%",
40401,STANDARD,CONTEXT,POSTAL_CODE,DEFINITION,3,,STANDARD,,
40402,STANDARD,CONTEXT,ID_POLYGON,DEFINITION,3,,STANDARD,Key linking the context to another (GIS-)database outside the IDS; this database is defined in the variable GIS_CONTEXT,
10002,STANDARD,METADATA,GIS_CONTEXT,DEFINITION,3,,STANDARD,Database outside the IDS-System with GIS_references; the key to this reference system is included in the IDS Variable ID_POLYGON,
50416,STANDARD,TIMESTAMP,ESTIMATION,Age_based,3,,STANDARD,Period estimated on age and date at which the age is valid (eg calculating a period of birth on the basis of age given at date of marriage or death),
10020,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,DEFINITION,3,,HSN,"Way of giving permission to a specific marriage, the wedding is defined by the timestamp and the variable HSN IDENTIFIER",
70013,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,"Basic sample 1873-1902 0,50%",3,,HSN,"The Research Person is part of the HSN basic sample, 1873-1902, frequency 0,505%",
70014,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,"Basic sample 1903-1922 0,25%",3,,HSN,"The Research Person is part of the HSN basic sample, 1903-1922, frequency 0,25%",
70015,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,Oversampling RDF,3,,HSN,The Research Person is part of the RDN oversampling 1881-1885 or 1911-1915,
70011,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,DEFINITION,3,,HSN,Variable to define the sample status of the HSN Research Person,
70016,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,"Oversampling 1903-1922 0,25%",3,,HSN,"The Research Person is part of the HSN oversampling, 1903-1922, frequency 0,25%",
70017,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,Oversampling OVF,3,,HSN,The Research Person is part of the OVF oversampling Rotterdam 1850-1902,
10185,HSN,INDIVIDUAL,SIGNATURE,Unknown,3,,X2,Not known if person signed or not (in situation that person was supposed to sign),
10031,STANDARD,INDIVIDUAL,DIVORCE_DATE,DEFINITION,3,,STANDARD,Date of a divorce,the value and further definition will be handled by the time stamp
10032,STANDARD,INDIVIDUAL,DIVORCE_LOCATION,DEFINITION,3,,STANDARD,Location of a divorce., It is preferable to use a reference key to the context table and to enter the lowest level of the context
50406,STANDARD,TIMESTAMP,DATE_TYPE,Imputed,3,,STANDARD,Date or period imputed by the database administrator,For example if at a certain date a divorce date is known it is possible to impute a period for CIVIL_STATUS is divorced.
20150,STANDARD,INDIV_INDIV,RELATION,Child,3,,STANDARD,,
20151,STANDARD,INDIV_INDIV,RELATION,Stepchild,3,,STANDARD,,
30217,STANDARD,INDIV_CONTEXT,RELATION,Master,3,,STANDARD,,
10000,STANDARD,METADATA,VERSION_IDS,3.01,2,,STANDARD,Version number of the used IDS, Each METADATA_table has its own constant version number
10001,STANDARD,METADATA,VERSION_RELEASE,DEFINITION,2,,STANDARD,Version number and name of the released dataset,
10003,STANDARD,INDIVIDUAL,BIRTH_DATE,DEFINITION,1,,STANDARD,Date of birth,the value and further definition will be handled by the time stamp
10004,STANDARD,INDIVIDUAL,BIRTH_LOCATION,DEFINITION,1,,STANDARD,Location of the event of birth. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context.
10005,STANDARD,INDIVIDUAL,BAPTISM_DATE,DEFINITION,1,,STANDARD,Date of the event of baptism or period in which a baptism took place,the value will be handled by the time stamp
10006,STANDARD,INDIVIDUAL,BAPTISM_LOCATION,DEFINITION,1,,STANDARD,Location of the event of baptism. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context
10007,STANDARD,INDIVIDUAL,DEATH_DATE,DEFINITION,1,,STANDARD,Date of death,the value and further definition will be handled by the time stamp
10008,STANDARD,INDIVIDUAL,DEATH_LOCATION,DEFINITION,1,,STANDARD,Location of the event of death., It is preferable to use a reference key to the context table and to enter the lowest level of the context
10015,STANDARD,INDIVIDUAL,MARRIAGE_DATE,DEFINITION,1,,STANDARD,Date of a marriage,the value and further definition will be handled by the time stamp
10016,STANDARD,INDIVIDUAL,MARRIAGE_SEQUENCE,DEFINITION,1,,STANDARD,Sequence of the marriage as defined by the time stamp and other identifiers.,
10017,STANDARD,INDIVIDUAL,MARRIAGE_LOCATION,DEFINITION,1,,STANDARD,Location of the event of marriage,it is not necessary to define a sequence because this is already defined by having equal values in the timestamp. It is preferable to use a reference key to the context table and to enter the lowest level of the context
10041,STANDARD,INDIVIDUAL,LAST_NAME,DEFINITION,1,,STANDARD,Last name or family name of the individual ,"this name may change during the life course, an empty timestamp means that no change took place."
10042,STANDARD,INDIVIDUAL,PREFIX_LAST_NAME,DEFINITION,3,,STANDARD,"Prefix of familyname, in Dutch context usually and in Belgian Context quite often seperated from 'main familyname', like 'De Boer'",
10043,STANDARD,INDIVIDUAL,FIRST_NAME,DEFINITION,1,,STANDARD,First name of the individual. ,"If the name consists of several parts, these parts must be separated by one space (charactar), (this name may change during the life course, an empty timestamp means that no change took place)."
10146,STANDARD,INDIVIDUAL,TITLE,DEFINITION,3,,STANDARD,"Title of noble origin like 'Baron', 'Duke' or another origin like 'Gentleman'",
10147,STANDARD,INDIVIDUAL,TITLE_STANDARD,DEFINITION,3,,STANDARD,Standardized version of title,
10148,STANDARD,INDIVIDUAL,TITLE_ENG,DEFINITION,3,,STANDARD,English version of standardized version of title,
12010,STANDARD,INDIVIDUAL,OCCUPATION,DEFINITION,3.0 change,,STANDARD,Original occupational title ,"all appearances, including repeating titles with the same value"
12011,STANDARD,INDIVIDUAL,OCCUPATION_STANDARD,DEFINITION,1,,STANDARD,Standardized occupational title ,"all appearances, including repeating titles with the same value"
12012,STANDARD,INDIVIDUAL,OCCUPATION_ENG,DEFINITION,1,,STANDARD,English version of standardized occupational title ,"all appearances, including repeating titles with the same value"
12013,STANDARD,INDIVIDUAL,OCCUPATION_HISCO,DEFINITION,1,,STANDARD,HISCO_code of standardized occupational title ,"all appearances, including repeating titles with the same value"
12014,STANDARD,INDIVIDUAL,OCCUPATION_HISCO_STATUS,DEFINITION,1,,STANDARD,"HISCO_code for status present in (standardized) occupational title like master, owner, journeyman, student, baron.",
12015,STANDARD,INDIVIDUAL,OCCUPATION_HISCO_RELATION,DEFINITION,1,,STANDARD,"HISCO_code for relationship with others' occupations or former occupations present in (standardized) occupational title like daughter (of farmer), retired (merchant).",
12016,STANDARD,INDIVIDUAL,OCCUPATION_HISCO_PRODUCT,DEFINITION,1,,STANDARD,"HISCO_code for traded products present in (standardized) occupational title like ores and minerals, textiles.",
10143,STANDARD,INDIVIDUAL,RELIGION,DEFINITION,3.0 change,,STANDARD,Original religious title,
10144,STANDARD,INDIVIDUAL,RELIGION_STANDARD,DEFINITION,1,,STANDARD,Standardized religious title,
10145,STANDARD,INDIVIDUAL,RELIGION_ENG,DEFINITION,1,,STANDARD,English version of standardized religious title,
10140,STANDARD,INDIVIDUAL,NATIONALITY,DEFINITION,3,,STANDARD,Original version of nationality,
10141,STANDARD,INDIVIDUAL,NATIONALITY_STANDARD,DEFINITION,3,,STANDARD,Standardized  version of nationality,
10142,STANDARD,INDIVIDUAL,NATIONALITY_ENG,DEFINITION,3,,STANDARD,English version of standardized version of nationality,
10150,STANDARD,INDIVIDUAL,AGE_YEARS,DEFINITION,1,,STANDARD,Age in years ,"at a certain point in time handled by the time stamp, this variable exclude the use of other variables starting with 'AGE_' (for the same individual)."
10151,STANDARD,INDIVIDUAL,AGE_MONTHS,DEFINITION,1,,STANDARD,Age in months,"at a certain point in time handled by the time stamp, this variable exclude the use of other variables starting with 'AGE_' (for the same individual)."
10152,STANDARD,INDIVIDUAL,AGE_WEEKS,DEFINITION,1,,STANDARD,Age in weeks,"at a certain point in time handled by the time stamp, this variable exclude the use of other variables starting with 'AGE_' (for the same individual)."
10153,STANDARD,INDIVIDUAL,AGE_DAYS,DEFINITION,1,,STANDARD,Age in days,"at a certain point in time handled by the time stamp, this variable exclude the use of other variables starting with 'AGE_' (for the same individual)."
10173,STANDARD,INDIVIDUAL,OBSERVATION,DEFINITION,1,,STANDARD,"Period of observation, there may be separate periods of observation",
10171,STANDARD,INDIVIDUAL,ARRIVAL_FROM,DEFINITION,4.0 change,,STANDARD,Location or country from where a person enters the observation. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context.
10172,STANDARD,INDIVIDUAL,DEPARTURE_TO,DEFINITION,4.0 change,,STANDARD,Location or country to where a person leaves the observation. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context.
10180,STANDARD,INDIVIDUAL,SIGNATURE,DEFINITION,1,,STANDARD,Ability to sign an civil certificate or other act or contract. ,Timestamp and/or relation with other persons clears in which legal context the individual was supposed to make a signature.
10181,STANDARD,INDIVIDUAL,SIGNATURE,Yes,1,,STANDARD,Individual is able to sign,
10182,STANDARD,INDIVIDUAL,SIGNATURE,No,1,,STANDARD,Individual is unable to sign,
10183,HSN,INDIVIDUAL,SIGNATURE,Sabbath,3,,HSN,Individual is not signing because he is not supposed to sign on sabbath,
10184,STANDARD,INDIVIDUAL,SIGNATURE,Unable,1,,STANDARD,"Unable to sign for other reasons than illiteracy (disablility,  nerves etc.)",
11040,STANDARD,INDIVIDUAL,SEX,DEFINITION,1,,STANDARD,Sex of individual,
11041,STANDARD,INDIVIDUAL,SEX,Male,1,,STANDARD,,
11042,STANDARD,INDIVIDUAL,SEX,Female,1,,STANDARD,,
11043,STANDARD,INDIVIDUAL,SEX,Unknown,1,,STANDARD,,
11044,DDB,INDIVIDUAL,SEX,Hermaphrodite,3,,DDB,,
11051,STANDARD,INDIVIDUAL,CIVIL_STATUS,DEFINITION,3.01 change,,STANDARD,Civil status,
11052,STANDARD,INDIVIDUAL,CIVIL_STATUS,Unmarried,3.01 change,,STANDARD,,
11053,STANDARD,INDIVIDUAL,CIVIL_STATUS,Married,3.01 change,,STANDARD,,
11054,STANDARD,INDIVIDUAL,CIVIL_STATUS,Widowed,3.01 change,,STANDARD,,
11055,STANDARD,INDIVIDUAL,CIVIL_STATUS,Divorced,3.01 change,,STANDARD,,
11056,STANDARD,INDIVIDUAL,CIVIL_STATUS,Separated from bed and board,3.01 change,,STANDARD,,
11057,STANDARD,INDIVIDUAL,CIVIL_STATUS,Married but abandoned,3.01 change,,STANDARD,,
11058,STANDARD,INDIVIDUAL,CIVIL_STATUS,Unknown,3.01 change,,STANDARD,,
20145,STANDARD,INDIV_INDIV,RELATION,DEFINITION,1,,STANDARD,The relationship from the first individual to the second one ; In case of biological relationships a timestamp is not necessary,
20146,STANDARD,INDIV_INDIV,RELATION,Father,1,,STANDARD,,
20147,STANDARD,INDIV_INDIV,RELATION,Mother,1,,STANDARD,,
20148,STANDARD,INDIV_INDIV,RELATION,Husband,3,,STANDARD,,
20149,STANDARD,INDIV_INDIV,RELATION,Wife,1,,STANDARD,,
20160,STANDARD,INDIV_INDIV,RELATION,Stepfather,1,,STANDARD,,
20161,STANDARD,INDIV_INDIV,RELATION,Stepmother,1,,STANDARD,,
20162,STANDARD,INDIV_INDIV,RELATION,Sibling,1,,STANDARD,,"Although, relations on siblings can be deducted from Father/mother and child relationships, information on these relations is not always available"
20163,STANDARD,INDIV_INDIV,RELATION,Half-sibling,1,,STANDARD,,
20164,STANDARD,INDIV_INDIV,RELATION,Sibling or half-sibling,1,,STANDARD,,In some contexts only one relationship with a father or a mother is avaible (in case of population registers the relationship with the father as householder is clear but it is not clear if the wife of the householder is also the mother).
20166,STANDARD,INDIV_INDIV,RELATION,Step-sibling,1,,STANDARD,,
20167,STANDARD,INDIV_INDIV,RELATION,Uncle,1,,STANDARD,,
20168,STANDARD,INDIV_INDIV,RELATION,Aunt,1,,STANDARD,,
20169,STANDARD,INDIV_INDIV,RELATION,Nephew,1,,STANDARD,,
20170,STANDARD,INDIV_INDIV,RELATION,Niece,1,,STANDARD,,
20172,STANDARD,INDIV_INDIV,RELATION,Sibling-in-law,1,,STANDARD,,
30231,STANDARD,INDIV_CONTEXT,RELATION,Birth,3.0 change,,STANDARD,"Relationship defined by a birth certificate, timestamp is date of certificate"," [Birth, not present itself at the moment of notifying!]"
30232,STANDARD,INDIV_CONTEXT,RELATION,Death,3.0 change,,STANDARD,"Relationship defined by a death certificate, timestamp is date of certificate"," [Death, not present itself at the moment of notifying!]"
20176,STANDARD,INDIV_INDIV,RELATION,Maid,1,,STANDARD,,
20177,STANDARD,INDIV_INDIV,RELATION,Householder,1,,STANDARD,,
20178,STANDARD,INDIV_INDIV,RELATION,Visitor,1,,STANDARD,,
20179,STANDARD,INDIV_INDIV,RELATION,Servant,1,,STANDARD,,
20180,STANDARD,INDIV_INDIV,RELATION,Non-relative,1,,STANDARD,,
30201,STANDARD,INDIV_CONTEXT,RELATION,DEFINITION,1,,STANDARD,"There is is only one variable in  in the table INDIV_CONTEXT, so there are only values to be defined",
30202,STANDARD,INDIV_CONTEXT,RELATION,Householder,1,,STANDARD,,
30203,STANDARD,INDIV_CONTEXT,RELATION,Family,1,,STANDARD,,
30204,STANDARD,INDIV_CONTEXT,RELATION,Visitor,1,,STANDARD,,
30205,STANDARD,INDIV_CONTEXT,RELATION,Non-relative,4.1 changed,,STANDARD,The relation 'relative' or 'non-relative' is directed to the householder (in relationship with the CONTEXT),
30206,STANDARD,INDIV_CONTEXT,RELATION,Maid,1,,STANDARD,,
30207,STANDARD,INDIV_CONTEXT,RELATION,Co-resident,1,,STANDARD,,
30208,STANDARD,INDIV_CONTEXT,RELATION,Lodger,1,,STANDARD,,
30250,STANDARD,INDIV_CONTEXT,RELATION,Aquaintance,4.1,,STANDARD,,
30209,STANDARD,INDIV_CONTEXT,RELATION,Servant,1,,STANDARD,,
30211,STANDARD,INDIV_CONTEXT,RELATION,Teacher,1,,STANDARD,Living in an instututional setting (like a boarding school),
30212,STANDARD,INDIV_CONTEXT,RELATION,Student,1,,STANDARD,Living in a instututional setting (like a boarding school or college),
30213,STANDARD,INDIV_CONTEXT,RELATION,Monk,1,,STANDARD,,
30214,STANDARD,INDIV_CONTEXT,RELATION,Nun,1,,STANDARD,,
30215,STANDARD,INDIV_CONTEXT,RELATION,Prioress,1,,STANDARD,,
30216,STANDARD,INDIV_CONTEXT,RELATION,Abbot,1,,STANDARD,,
40360,STANDARD,CONTEXT,LEVEL,State,1,,STANDARD,,
40362,STANDARD,CONTEXT,LEVEL,Region,1,,STANDARD,,
40364,STANDARD,CONTEXT,LEVEL,Municipality,1,,STANDARD,,
40365,STANDARD,CONTEXT,LEVEL,Locality,1,,STANDARD,,
40366,STANDARD,CONTEXT,LEVEL,Quarter,1,,STANDARD,,
40412,STANDARD,CONTEXT,STREET,DEFINITION,1,,STANDARD,Name of a street,
40413,STANDARD,CONTEXT,HOUSE_NUMBER,DEFINITION,1,,STANDARD,Number of a house,
40414,STANDARD,CONTEXT,HOUSE_NAME,DEFINITION,1,,STANDARD,Name of a house,
40431,STANDARD,CONTEXT,LATITUDE,DEFINITION,1,,STANDARD,Latitude giving the X- part of the coordinates for a Centroid (East West),
40432,STANDARD,CONTEXT,LONGITUDE,DEFINITION,1,,STANDARD,Longitude giving the Y-part of the coordinates for a Centroid (North South),
40433,STANDARD,CONTEXT,INHABITANTS,DEFINITION,1,,STANDARD,Number of inhabitants at a certain point in time,
40415,HSN,CONTEXT,HOUSE_NUMBER_EXTENSION,DEFINITION,3,,HSN,Extension to the number of the house,
40416,HSN,CONTEXT,BOAT,DEFINITION,3,,HSN,Name of the (house) boat where people are living,
40417,HSN,CONTEXT,BERTH,DEFINITION,3,,HSN,Name of the street or quay where a house boat is situated,
40420,STANDARD,CONTEXT,INSTITUTION,DEFINITION,3,,STANDARD,"Name of the institution (hospital, armee barack etc) where persons may located",
40361,STANDARD,CONTEXT,LEVEL,Province,3,,STANDARD,,
40363,STANDARD,CONTEXT,LEVEL,County,3,,STANDARD,,
20183,STANDARD,INDIV_INDIV,RELATION,Cousin,4.1,,STANDARD,,
40481,HSN,CONTEXT,LANDLORD,DEFINITION,3,,HSN,Name of the landlord if not included in the IDS itself,
50401,STANDARD,TIMESTAMP,DATE_TYPE,DEFINITION,1,,STANDARD,Type of date,
50402,STANDARD,TIMESTAMP,DATE_TYPE,Event,1,,STANDARD,"Date of an event, observed at the moment of the event itself (like the date of birth in a birth certificate)",
50403,STANDARD,TIMESTAMP,DATE_TYPE,Reported,1,,STANDARD,"Date of an event, reported in a later source (like the date of birth in a population register)",
50404,STANDARD,TIMESTAMP,DATE_TYPE,Declared,1,,STANDARD,Date at which point in time a certain attribute is valid (like 'married' or some occupational title),
50405,STANDARD,TIMESTAMP,DATE_TYPE,Assigned,3,,STANDARD,Date or period assigned by the database administrator,
50411,STANDARD,TIMESTAMP,ESTIMATION,DEFINITION,1,,STANDARD,Type of estimation of date,
50412,STANDARD,TIMESTAMP,ESTIMATION,Exact,1,,STANDARD,"Exact date (day, month and year)",
50413,STANDARD,TIMESTAMP,ESTIMATION,Month_year,1,,STANDARD,"Exact month and year  (no day-number), no estimation made of the day-number",
50414,STANDARD,TIMESTAMP,ESTIMATION,Year,1,,STANDARD,"Exact year  (no day- and month-number), no estimation made of the day- and month-number",
50415,STANDARD,TIMESTAMP,ESTIMATION,Estimated,3,,STANDARD,The date is estimated,
50418,HSN,TIMESTAMP,ESTIMATION,Estimated [xx],3,,HSN,"The date is estimated, xx gives the code of estimation",
50419,HSN,TIMESTAMP,ESTIMATION,Estimated [xx / yy],3,,HSN,"Begin and end of the period is estimated, xx / yy gives the code of estimation of start and end date",
50420,HSN,TIMESTAMP,ESTIMATION,Start_Estimated [xx],3,,HSN,"The start of the period is estimated, xx gives the code of estimation",
50421,HSN,TIMESTAMP,ESTIMATION,End_Estimated [xx],3,,HSN,"The end of the period is estimated, xx gives the code of estimation",
50451,STANDARD,TIMESTAMP,MISSING,DEFINITION,1,,STANDARD,Reason why a (part of a) date is missing (and had to be estimated),
50453,STANDARD,TIMESTAMP,MISSING,Unavailable,1,,STANDARD,An (exact) date is missing in the source,
50454,STANDARD,TIMESTAMP,MISSING,Unreadable,1,,STANDARD,An (exact) date is unreadable in the source,
50455,STANDARD,TIMESTAMP,MISSING,Anonymized,1,,STANDARD,An (exact) date is available in the database but for reasons of privacy not included in the IDS,
50456,STANDARD,TIMESTAMP,MISSING,Time_Invariant,1,,STANDARD,"No date is necessary, e.g. in case of the variable SEX",
50457,STANDARD,TIMESTAMP,MISSING,Private,1,,STANDARD,An (exact) date has never been entered into the database for reasons of privacy,
50458,STANDARD,TIMESTAMP,MISSING,Unknown,1,,STANDARD,An (exact) date is missing in the source for reasons unknown (or not documented),
70001,HSN,INDIVIDUAL,HSN_IDENTIFIER,DEFINITION,3,,HSN,HSN identifying key of the original Research Person,
70002,HSN,INDIVIDUAL,HSN_RESEARCH_PERSON,DEFINITION,3,,HSN,HSN code to distinguish the Research Person (RP) from other persons,
70003,HSN,INDIVIDUAL,HSN_RESEARCH_PERSON,HSN RP,3,,HSN,The individual is the HSN Research Person,
70004,HSN,INDIVIDUAL,HSN_RESEARCH_PERSON,Mother RP,3,,HSN,The individual is the father of the HSN Research Person,
70005,HSN,INDIVIDUAL,HSN_RESEARCH_PERSON,Father RP,3,,HSN,The individual is the mother of the HSN Research Person,
70006,HSN,INDIVIDUAL,HSN_RESEARCH_PERSON,Other,3,,HSN,The individual has another relationship with the HSN Research Person,
